,bins,hist,pdf,cdf,cdf_normalized
245,245.0,751,0.0009549458821614584,0.9958686828613287,6710.163185119628
246,246.0,667,0.0008481343587239584,0.9967168172200527,6715.87791442871
247,247.0,582,0.00074005126953125,0.9974568684895839,6720.864379882812
248,248.0,429,0.000545501708984375,0.9980023701985683,6724.539970397948
249,249.0,357,0.000453948974609375,0.9984563191731777,6727.598678588866
250,250.0,313,0.0003980000813802083,0.9988543192545579,6730.280403137207
251,251.0,302,0.0003840128580729167,0.9992383321126308,6732.867881774901
252,252.0,242,0.0003077189127604167,0.9995460510253912,6734.941291809081
253,253.0,178,0.00022633870442708334,0.9997723897298183,6736.466361999511
254,254.0,67,8.519490559895833e-05,0.9998575846354173,6737.0404052734375
255,255.0,112,0.00014241536458333334,1.0000000000000007,6738.0
